Name,Simulations,Turn,TimeTaken
GP_MCTS,500,1,30.192755699157715
GP_MCTS,500,2,30.549484968185425
GP_MCTS,500,3,29.18945550918579
GP_MCTS,500,4,28.27140998840332
GP_MCTS,500,5,28.9274845123291
GP_MCTS,500,6,27.633195638656613
GP_MCTS,500,7,26.40906238555908
GP_MCTS,500,8,24.883690357208252
GP_MCTS,500,9,24.206886053085327
GP_MCTS,500,10,23.685296058654785
GP_MCTS,500,11,23.077953100204468
GP_MCTS,500,12,23.041954278945926
GP_MCTS,500,13,23.256694793701172
GP_MCTS,500,14,23.273022413253784
GP_MCTS,500,15,157.48232126235962
GP_MCTS,500,16,151.80304408073425
GP_MCTS,500,17,139.40505194664
GP_MCTS,500,18,129.12438774108887
GP_MCTS,500,19,122.27522921562195
GP_MCTS,500,20,114.09472942352295
GP_MCTS,500,21,109.1593873500824
GP_MCTS,500,22,100.27670741081238
GP_MCTS,500,23,92.66046929359436
GP_MCTS,500,24,87.82085680961609
GP_MCTS,500,25,83.2816984653473
GP_MCTS,500,26,73.73021674156189
GP_MCTS,500,27,69.61878561973572
GP_MCTS,500,28,64.89829134941101
GP_MCTS,500,29,59.65383505821228
GP_MCTS,500,30,57.53760099411011
GP_MCTS,500,31,54.5832941532135
GP_MCTS,500,32,39.21155452728272
GP_MCTS,500,33,27.687147378921512
GP_MCTS,500,34,20.593252658843998
GP_MCTS,500,35,14.226589918136597
GP_MCTS,500,1,30.60434865951538
GP_MCTS,500,2,29.213759660720825
GP_MCTS,500,3,27.51895022392273
GP_MCTS,500,4,28.220539808273315
GP_MCTS,500,5,27.173157215118408
GP_MCTS,500,6,26.58568263053894
GP_MCTS,500,7,26.937103509902954
GP_MCTS,500,8,25.33287024497986
GP_MCTS,500,9,25.045056104660034
GP_MCTS,500,10,25.171257495880127
GP_MCTS,500,11,24.50862741470337
GP_MCTS,500,12,22.311267375946045
GP_MCTS,500,13,21.814268827438354
GP_MCTS,500,14,21.750635623931885
GP_MCTS,500,15,151.16019892692566
GP_MCTS,500,16,142.09304451942444
GP_MCTS,500,17,128.86029052734378
GP_MCTS,500,18,121.50828289985657
GP_MCTS,500,19,117.73733186721802
