AvgTurnTime,CompleteCityScore,CompleteMonasteryScore,CompleteRoadScore,Draw,FarmScore,FixtureSet,Game,IncompleteCityScore,IncompleteMonasteryScore,IncompleteRoadScore,Loss,MeepleFeatures,MeepleTurns,MeeplesPlayed,Opponent,OpponentScore,Player,PlayerScore,Result,Turns,Win
58.87445461750031,20,9,9,0,3,1,11,13,0,4,1,"['C', 'C', 'Monastery', 'G', 'R', 'C', 'R', 'G', 'C', 'R', 'C', 'C', 'G', 'C', 'R']","[1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 29, 30, 31, 32, 34]",15,M_RAVE,76,GP_MCTS,58,2,36,0
16.64207117621963,16,9,23,0,18,1,12,13,8,4,0,"['G', 'R', 'C', 'C', 'C', 'C', 'R', 'G', 'Monastery', 'R', 'R', 'C', 'R', 'R', 'Monastery', 'C', 'G', 'R']","[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 18, 29, 30, 33]",18,GP_MCTS,79,M_RAVE,91,1,37,1
55.36375519302157,10,18,2,0,12,1,12,21,7,9,1,"['Monastery', 'Monastery', 'Monastery', 'R', 'R', 'C', 'G', 'G', 'C', 'C', 'C', 'R']","[1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 14, 33]",12,M_RAVE,91,GP_MCTS,79,2,36,0
16.949462967949945,14,0,0,0,9,1,13,22,6,14,0,"['R', 'C', 'C', 'R', 'C', 'R', 'C', 'Monastery', 'G']","[1, 2, 3, 4, 5, 6, 8, 9, 15]",9,GP_MCTS,60,M_RAVE,65,1,37,1
59.103892723719284,12,0,15,0,21,1,13,6,0,6,1,"['C', 'R', 'R', 'C', 'R', 'G', 'R', 'R', 'G', 'C', 'G', 'C']","[1, 2, 4, 5, 6, 8, 9, 10, 14, 24, 25, 33]",12,M_RAVE,65,GP_MCTS,60,2,36,0
16.237742275805086,12,9,19,0,9,1,14,16,23,5,0,"['C', 'G', 'C', 'Monastery', 'Monastery', 'Monastery', 'R', 'C', 'R', 'C', 'R', 'R', 'Monastery']","[1, 2, 3, 4, 5, 6, 7, 8, 13, 21, 22, 23, 36]",13,GP_MCTS,74,M_RAVE,93,1,37,1
54.091848572095245,10,0,13,0,9,1,14,33,0,9,1,"['C', 'R', 'R', 'R', 'C', 'C', 'C', 'R', 'R', 'G', 'R', 'R', 'R', 'C']","[2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 25, 26, 28, 29]",14,M_RAVE,93,GP_MCTS,74,2,36,0
16.643169544838567,8,0,2,0,18,1,15,6,0,16,1,"['R', 'C', 'G', 'R', 'G', 'R', 'C', 'R', 'R']","[1, 2, 3, 4, 5, 6, 7, 8, 18]",9,GP_MCTS,84,M_RAVE,50,2,37,0
57.99671618805992,28,18,5,0,9,1,15,20,0,4,0,"['R', 'C', 'C', 'Monastery', 'C', 'C', 'C', 'C', 'G', 'Monastery', 'C', 'C', 'C', 'R']","[1, 2, 3, 5, 6, 7, 8, 19, 21, 23, 27, 28, 29, 33]",14,M_RAVE,50,GP_MCTS,84,1,36,1
16.70408446079976,24,9,12,0,24,1,16,11,7,2,0,"['C', 'G', 'C', 'C', 'R', 'G', 'C', 'R', 'Monastery', 'G', 'C', 'R', 'R', 'Monastery']","[1, 2, 3, 4, 5, 6, 7, 8, 24, 25, 26, 29, 30, 31]",14,GP_MCTS,73,M_RAVE,89,1,37,1
